Exercise_Name,Description_URL,Exercise_Image,Exercise_Image1,muscle_gp,Equipment
Double Leg Butt Kick,https://www.bodybuilding.com/exercises/double-leg-butt-kick,https://www.bodybuilding.com/exercises/exerciseImages/sequences/778/Male/m/778_1.jpg,https://www.bodybuilding.com/exercises/exerciseImages/sequences/778/Male/m/778_2.jpg,Quadriceps,
Groiners,https://www.bodybuilding.com/exercises/groiners-,,,Adductors,Body Only
Neck Press,https://www.bodybuilding.com/exercises/neck-press,,,Chest,Barbell
Broad jump,https://www.bodybuilding.com/exercises/standing-long-jump,,,Quadriceps,Body Only
Machine Squat,https://www.bodybuilding.com/exercises/machine-squat,,,Quadriceps,Machine
V-bar pull-up,https://www.bodybuilding.com/exercises/v-bar-pullup,https://www.bodybuilding.com/images/2020/xdb/cropped/2020-xdb-140c-v-bar-pull-up-m1-crop-600x600.jpg,,Lats,
Ring dip,https://www.bodybuilding.com/exercises/ring-dips,,,Triceps,Body Only
Standing One-Arm Cable Curl,https://www.bodybuilding.com/exercises/standing-one-arm-cable-curl,,,Biceps,Cable
Burpee,https://www.bodybuilding.com/exercises/burpee,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-38a-burpee-m4-square-600x600.jpg,,Quadriceps,Body Only
Double-arm triceps kick-back,https://www.bodybuilding.com/exercises/standing-bent-over-two-arm-dumbbell-triceps-extension,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-75d-double-arm-triceps-kick-back-m2-square-600x600.jpg,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-75d-double-arm-triceps-kick-back-m3-square-600x600.jpg,Triceps,Dumbbell
Dumbbell reverse lunge,https://www.bodybuilding.com/exercises/dumbbell-rear-lunge,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-83d-dumbbell-reverse-lunge-m1-square-600x600.jpg,,Quadriceps,Dumbbell
Seated Calf Raise,https://www.bodybuilding.com/exercises/seated-calf-raise,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-13m-machine-seated-calf-raise-m1-square-600x600.jpg,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-13m-machine-seated-calf-raise-m2-square-600x600.jpg,Calves,Machine
Standing dumbbell shrug,https://www.bodybuilding.com/exercises/dumbbell-shrug,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-115d-standing-dumbbell-shrug-m1-square-600x600.jpg,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-115d-standing-dumbbell-shrug-m2-square-600x600.jpg,Traps,Dumbbell
Calf Press On The Leg Press Machine,https://www.bodybuilding.com/exercises/calf-press-on-the-leg-press-machine,,,Calves,Machine
Barbell step-up,https://www.bodybuilding.com/exercises/barbell-step-ups,,,Quadriceps,Barbell
Feet-elevated bench dip,https://www.bodybuilding.com/exercises/bench-dips,,,Triceps,Body Only
Bent Over Barbell Row,https://www.bodybuilding.com/exercises/bent-over-barbell-row,,,Middle Back,Barbell
Crunches,https://www.bodybuilding.com/exercises/crunches,,,Abdominals,Body Only
Dumbbell Alternate Bicep Curl,https://www.bodybuilding.com/exercises/dumbbell-alternate-bicep-curl,,,Biceps,Dumbbell
Bent-over dumbbell rear delt row,https://www.bodybuilding.com/exercises/dumbbell-rear-delt-row,,,Shoulders,Dumbbell
External Rotation with Cable,https://www.bodybuilding.com/exercises/external-rotation-with-cable,,,Shoulders,Cables
Handstand push-up,https://www.bodybuilding.com/exercises/handstand-push-ups,,,Shoulders,Body Only
Single-arm dumbbell preacher curl,https://www.bodybuilding.com/exercises/one-arm-dumbbell-preacher-curl,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-53s-single-arm-dumbbell-preacher-curl-m1-square-600x600.jpg,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-53s-single-arm-dumbbell-preacher-curl-m2-square-600x600.jpg,Biceps,Dumbbell
Step-up with knee raise,https://www.bodybuilding.com/exercises/step-up-with-knee-raise,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-70e-step-up-with-knee-raise-m1-square-600x600.jpg,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-70e-step-up-with-knee-raise-m2-square-600x600.jpg,Glutes,Body Only
Smith machine back squat,https://www.bodybuilding.com/exercises/smith-machine-squat,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-18t-smith-machine-back-squat-m1-square-600x600.jpg,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-18t-smith-machine-back-squat-m2-square-600x600.jpg,Quadriceps,Machine
Incline dumbbell front raise,https://www.bodybuilding.com/exercises/front-incline-dumbbell-raise,,,Shoulders,Dumbbell
Alternate Incline Dumbbell Curl,https://www.bodybuilding.com/exercises/alternate-incline-dumbbell-curl,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-26n-alternating-incline-dumbbell-biceps-curl-m1-square-600x600.jpg,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-26n-alternating-incline-dumbbell-biceps-curl-m2-square-600x600.jpg,Biceps,Dumbbell
Standing dumbbell upright row,https://www.bodybuilding.com/exercises/standing-dumbbell-upright-row,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-125d-standing-dumbbell-upright-row-m1-square-600x600.jpg,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-125d-standing-dumbbell-upright-row-m2-square-600x600.jpg,Traps,Dumbbell
Single-arm cable front raise,https://www.bodybuilding.com/exercises/front-cable-raise,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-42c-single-arm-cable-front-raise-m1-square-600x600.jpg,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-42c-single-arm-cable-front-raise-m2-square-600x600.jpg,Shoulders,Cable
Two-Arm Kettlebell Military Press,https://www.bodybuilding.com/exercises/two-arm-kettlebell-military-press,https://www.bodybuilding.com/exercises/exerciseImages/sequences/530/Male/m/530_1.jpg,https://www.bodybuilding.com/exercises/exerciseImages/sequences/530/Male/m/530_2.jpg,Shoulders,Kettlebells
Incline cable chest press,https://www.bodybuilding.com/exercises/incline-cable-chest-press,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-11c-incline-cable-chest-press-m1-square-600x600.jpg,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-11c-incline-cable-chest-press-m2-square-600x600.jpg,Chest,Cable
Rope climb,https://www.bodybuilding.com/exercises/rope-climb,,,Lats,Body Only
Single-arm dumbbell preacher curl,https://www.bodybuilding.com/exercises/one-arm-dumbbell-preacher-curl,,,Biceps,Dumbbell
Step-up with knee raise,https://www.bodybuilding.com/exercises/step-up-with-knee-raise,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-70e-step-up-with-knee-raise-m2-square-600x600.jpg,,Glutes,Body Only
Incline dumbbell front raise,https://www.bodybuilding.com/exercises/front-incline-dumbbell-raise,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-11n-incline-dumbbell-front-raise-m1-square-600x600.jpg,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-11n-incline-dumbbell-front-raise-m2-square-600x600.jpg,Shoulders,Dumbbell
Rope climb,https://www.bodybuilding.com/exercises/rope-climb,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-155s-rope-climb-m1-square-600x600.jpg,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-155s-rope-climb-m3-square-600x600.jpg,Lats,Body Only
Trail Running/Walking,https://www.bodybuilding.com/exercises/trail-runningwalking,,,Quadriceps,Body Only
Standing Bradford press,https://www.bodybuilding.com/exercises/standing-bradford-press,,,Shoulders,Barbell
Neutral-grip dumbbell bench press,https://www.bodybuilding.com/exercises/dumbbell-bench-press-with-neutral-grip,,,Chest,Dumbbell
Cable Chest Press,https://www.bodybuilding.com/exercises/cable-chest-press,https://www.bodybuilding.com/exercises/exerciseImages/sequences/870/Male/m/870_1.jpg,https://www.bodybuilding.com/exercises/exerciseImages/sequences/870/Male/m/870_2.jpg,Chest,Cable
Standing concentration curl,https://www.bodybuilding.com/exercises/standing-concentration-curl,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-23d-standing-concentration-curl-m1-square-600x600.jpg,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-23d-standing-concentration-curl-m2-square-600x600.jpg,Biceps,Dumbbell
Wide-Grip Rear Pull-Up,https://www.bodybuilding.com/exercises/wide-grip-rear-pull-up,https://www.bodybuilding.com/exercises/exerciseImages/sequences/191/Male/m/191_1.jpg,https://www.bodybuilding.com/exercises/exerciseImages/sequences/191/Male/m/191_2.jpg,Lats,Body Only
Kettlebell pass-through lunge,https://www.bodybuilding.com/exercises/lunge-pass-through,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-57k-kettlebell-pass-through-lunge-m1-square-600x600.jpg,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-57k-kettlebell-pass-through-lunge-m4-square-600x600.jpg,Hamstrings,Kettlebells
Hands-elevated push-up,https://www.bodybuilding.com/exercises/incline-push-up-medium,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-18e-hands-elevated-push-up-m1-square-600x600.jpg,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-18e-hands-elevated-push-up-m2-square-600x600.jpg,Chest,Body Only
Deadlift with Bands,https://www.bodybuilding.com/exercises/deadlift-with-bands,https://www.bodybuilding.com/exercises/exerciseImages/sequences/677/Male/m/677_1.jpg,https://www.bodybuilding.com/exercises/exerciseImages/sequences/677/Male/m/677_2.jpg,Lower Back,Barbell
Straight-arm rope pull-down,https://www.bodybuilding.com/exercises/rope-straight-arm-pulldown,https://www.bodybuilding.com/images/2020/xdb/cropped/2019-xdb-105c-straight-arm-rope-pull-down-m1-600x600.jpg,https://www.bodybuilding.com/images/2020/xdb/cropped/2019-xdb-105c-straight-arm-rope-pull-down-m2-600x600.jpg,Lats,Cable
Barbell Shoulder Press,https://www.bodybuilding.com/exercises/barbell-shoulder-press,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-48e-seated-barbell-shoulder-press-m1-square-600x600.jpg,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-48e-seated-barbell-shoulder-press-m2-square-600x600.jpg,Shoulders,Barbell
Power clean,https://www.bodybuilding.com/exercises/power-clean,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-25b-power-clean-m1-square-600x600.jpg,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-25b-power-clean-m4-square-600x600.jpg,Hamstrings,Barbell
Hang Snatch,https://www.bodybuilding.com/exercises/hang-snatch,https://www.bodybuilding.com/exercises/exerciseImages/sequences/690/Male/m/690_1.jpg,https://www.bodybuilding.com/exercises/exerciseImages/sequences/690/Male/m/690_2.jpg,Hamstrings,Barbell
Kettlebell sumo deadlift high pull,https://www.bodybuilding.com/exercises/kettlebell-sumo-high-pull,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-49k-kettlebell-sumo-deadlift-high-pull-m1-square-600x600.jpg,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-49k-kettlebell-sumo-deadlift-high-pull-m3-square-600x600.jpg,Traps,Kettlebells
Calf-Machine Shoulder Shrug,https://www.bodybuilding.com/exercises/calf-machine-shoulder-shrug,https://www.bodybuilding.com/exercises/exerciseImages/sequences/184/Male/m/184_1.jpg,https://www.bodybuilding.com/exercises/exerciseImages/sequences/184/Male/m/184_2.jpg,Traps,Machine
Bench Press - Powerlifting,https://www.bodybuilding.com/exercises/bench-press-powerlifting,https://www.bodybuilding.com/exercises/exerciseImages/sequences/663/Male/m/663_1.jpg,https://www.bodybuilding.com/exercises/exerciseImages/sequences/663/Male/m/663_2.jpg,Triceps,Barbell
Rocking Standing Calf Raise,https://www.bodybuilding.com/exercises/rocking-standing-calf-raise,,,Calves,Barbell
Goblet Squat,https://www.bodybuilding.com/exercises/goblet-squat,,,Quadriceps,Kettlebells
Behind-the-head skullcrusher,https://www.bodybuilding.com/exercises/lying-close-grip-barbell-triceps-extension-behind-the-head,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-56e-behind-the-head-skullcrusher-m1-square-600x600.jpg,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-56e-behind-the-head-skullcrusher-m2-square-600x600.jpg,Triceps,Barbell
Seated palms-up wrist curl,https://www.bodybuilding.com/exercises/seated-palm-up-barbell-wrist-curl,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-65e-seated-palms-up-wrist-curl-m1-square-600x600.jpg,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-65e-seated-palms-up-wrist-curl-m2-square-600x600.jpg,Forearms,Barbell
Reverse Cable Curl,https://www.bodybuilding.com/exercises/reverse-cable-curl,https://www.bodybuilding.com/exercises/exerciseImages/sequences/141/Male/m/141_1.jpg,https://www.bodybuilding.com/exercises/exerciseImages/sequences/141/Male/m/141_2.jpg,Biceps,Cable
Dumbbell side bend,https://www.bodybuilding.com/exercises/dumbbell-side-bend,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-102d-dumbbell-side-bend-m1-square-600x600.jpg,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-102d-dumbbell-side-bend-m2-square-600x600.jpg,Abdominals,Dumbbell
Lat pull-down,https://www.bodybuilding.com/exercises/wide-grip-lat-pulldown,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-72c-lat-pull-down-m1-square-600x600.jpg,,Lats,Cable
Side Lateral Raise,https://www.bodybuilding.com/exercises/side-lateral-raise,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-77d-dumbbell-lateral-raise-m1-square-600x600.jpg,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-77d-dumbbell-lateral-raise-m2-square-600x600.jpg,Shoulders,Dumbbell
Alternating incline dumbbell biceps curl,https://www.bodybuilding.com/exercises/incline-dumbbell-curl,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-26n-alternating-incline-dumbbell-biceps-curl-m1-square-600x600.jpg,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-26n-alternating-incline-dumbbell-biceps-curl-m2-square-600x600.jpg,Biceps,Dumbbell
Kettlebell One-Legged Deadlift,https://www.bodybuilding.com/exercises/kettlebell-one-legged-deadlift,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-4k-single-leg-kettlebell-deadlift-m1-square-600x600.jpg,,Hamstrings,Kettlebells
Alternate Hammer Curl,https://www.bodybuilding.com/exercises/alternate-hammer-curl,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-3d-alternating-hammer-curl-m1-square-600x600.jpg,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-3d-alternating-hammer-curl-m2-square-600x600.jpg,Biceps,Dumbbell
Decline Push-Up,https://www.bodybuilding.com/exercises/decline-push-up,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-20e-feet-elevated-push-up-m1-square-600x600.jpg,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-20e-feet-elevated-push-up-m2-square-600x600.jpg,Chest,Body Only
Captain's chair knee raise,https://www.bodybuilding.com/exercises/kneehip-raise-on-parallel-bars,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-5m-captains-chair-knee-raise-m1-square-600x600.jpg,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-5m-captains-chair-knee-raise-m2-square-600x600.jpg,Abdominals,Other
Triceps Pushdown,https://www.bodybuilding.com/exercises/triceps-pushdown,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-17c-cable-v-bar-push-down-m1-square-600x600.jpg,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-17c-cable-v-bar-push-down-m2-square-600x600.jpg,Triceps,Cable
Low cable overhead triceps extension,https://www.bodybuilding.com/exercises/triceps-overhead-extension-with-rope,,,Triceps,Cable
Single-arm cable cross-over,https://www.bodybuilding.com/exercises/single-arm-cable-crossover,,,Chest,Cable
Seated dumbbell biceps curl,https://www.bodybuilding.com/exercises/seated-dumbbell-curl,,,Biceps,Dumbbell
Battle ropes,https://www.bodybuilding.com/exercises/battling-ropes,,,Shoulders,Other
Dead bug reach,https://www.bodybuilding.com/exercises/dead-bug,,,Abdominals,Body Only
Deadlift with Chains,https://www.bodybuilding.com/exercises/deadlift-with-chains,,,Lower Back,Barbell
Rope Crunch,https://www.bodybuilding.com/exercises/rope-crunch,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-35c-kneeling-cable-crunch-m1-square-600x600.jpg,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-35c-kneeling-cable-crunch-m2-square-600x600.jpg,Abdominals,Cable
Palms-Up Dumbbell Wrist Curl Over A Bench,https://www.bodybuilding.com/exercises/palms-up-dumbbell-wrist-curl-over-a-bench,,,Forearms,Dumbbell
Kettlebell thruster,https://www.bodybuilding.com/exercises/kettlebell-thruster,,,Glutes,Kettlebells
Single-Arm Push-Up,https://www.bodybuilding.com/exercises/single-arm-push-up,,,Chest,Body Only
Band Hip Adductions,https://www.bodybuilding.com/exercises/band-hip-adductions,https://www.bodybuilding.com/exercises/exerciseImages/sequences/850/Male/m/850_2.jpg,,Adductors,Bands
Single-arm kettlebell clean,https://www.bodybuilding.com/exercises/one-arm-kettlebell-clean,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-80k-single-arm-kettlebell-clean-m1-square-600x600.jpg,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-80k-single-arm-kettlebell-clean-m2-square-600x600.jpg,Hamstrings,Kettlebells
Preacher Hammer Dumbbell Curl,https://www.bodybuilding.com/exercises/preacher-hammer-dumbbell-curl,https://www.bodybuilding.com/exercises/exerciseImages/sequences/155/Male/m/155_1.jpg,https://www.bodybuilding.com/exercises/exerciseImages/sequences/155/Male/m/155_2.jpg,Biceps,Dumbbell
Alternating Kettlebell Press,https://www.bodybuilding.com/exercises/alternating-kettlebell-press,https://www.bodybuilding.com/exercises/exerciseImages/sequences/504/Male/m/504_1.jpg,https://www.bodybuilding.com/exercises/exerciseImages/sequences/504/Male/m/504_2.jpg,Shoulders,Kettlebells
Split Squat with Dumbbells,https://www.bodybuilding.com/exercises/split-squat-with-dumbbells,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-61e-dumbbell-bulgarian-split-squat-m1-square-600x600.jpg,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-61e-dumbbell-bulgarian-split-squat-m2-square-600x600.jpg,Quadriceps,Dumbbell
Standing One-Arm Dumbbell Curl Over Incline Bench,https://www.bodybuilding.com/exercises/standing-one-arm-dumbbell-curl-over-incline-bench,,,Biceps,
Standing Olympic Plate Hand Squeeze,https://www.bodybuilding.com/exercises/standing-olympic-plate-hand-squeeze,,,Forearms,Other
Sledgehammer swing,https://www.bodybuilding.com/exercises/sledgehammer-swings,,,Abdominals,Other
Kneeling Squat,https://www.bodybuilding.com/exercises/kneeling-squat,https://www.bodybuilding.com/exercises/exerciseImages/sequences/697/Male/m/697_1.jpg,https://www.bodybuilding.com/exercises/exerciseImages/sequences/697/Male/m/697_2.jpg,Glutes,Barbell
Single-arm kettlebell snatch,https://www.bodybuilding.com/exercises/one-arm-kettlebell-snatch,,,Shoulders,Kettlebells
Close-grip barbell curl,https://www.bodybuilding.com/exercises/close-grip-standing-barbell-curl,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-20b-close-grip-barbell-curl-m1-square-600x600.jpg,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-20b-close-grip-barbell-curl-m2-square-600x600.jpg,Biceps,Barbell
Box jump,https://www.bodybuilding.com/exercises/front-box-jump,,,Hamstrings,Other
Standing cable crunch,https://www.bodybuilding.com/exercises/standing-rope-crunch,,,Abdominals,Cable
Leverage Incline Chest Press,https://www.bodybuilding.com/exercises/leverage-incline-chest-press,https://www.bodybuilding.com/exercises/exerciseImages/sequences/893/Male/m/893_1.jpg,https://www.bodybuilding.com/exercises/exerciseImages/sequences/893/Male/m/893_2.jpg,Chest,Machine
Standing barbell overhead triceps extension,https://www.bodybuilding.com/exercises/standing-overhead-barbell-triceps-extension,,,Triceps,Barbell
Lying cable triceps extension,https://www.bodybuilding.com/exercises/cable-lying-triceps-extension,,,Triceps,Cable
Kettlebell Turkish Get-Up (Squat style),https://www.bodybuilding.com/exercises/kettlebell-turkish-get-up-squat-style,https://www.bodybuilding.com/exercises/exerciseImages/sequences/527/Male/m/527_1.jpg,https://www.bodybuilding.com/exercises/exerciseImages/sequences/527/Male/m/527_2.jpg,Shoulders,
Crunch - Hands Overhead,https://www.bodybuilding.com/exercises/crunch-hands-overhead,https://www.bodybuilding.com/exercises/exerciseImages/sequences/113/Male/m/113_1.jpg,https://www.bodybuilding.com/exercises/exerciseImages/sequences/113/Male/m/113_2.jpg,Abdominals,Body Only
Cable Internal Rotation,https://www.bodybuilding.com/exercises/cable-internal-rotation,https://www.bodybuilding.com/exercises/exerciseImages/sequences/315/Male/m/315_1.jpg,https://www.bodybuilding.com/exercises/exerciseImages/sequences/315/Male/m/315_2.jpg,Shoulders,Cable
Leg Extensions,https://www.bodybuilding.com/exercises/leg-extensions,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-18m-leg-extension-m1-square-600x600.jpg,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-18m-leg-extension-m2-square-600x600.jpg,Quadriceps,Machine
Standing One-Arm Dumbbell Curl Over Incline Bench,https://www.bodybuilding.com/exercises/standing-one-arm-dumbbell-curl-over-incline-bench,https://www.bodybuilding.com/exercises/exerciseImages/sequences/339/Male/m/339_1.jpg,https://www.bodybuilding.com/exercises/exerciseImages/sequences/339/Male/m/339_2.jpg,Biceps,
Standing Olympic Plate Hand Squeeze,https://www.bodybuilding.com/exercises/standing-olympic-plate-hand-squeeze,https://www.bodybuilding.com/exercises/exerciseImages/sequences/6/Male/m/6_1.jpg,https://www.bodybuilding.com/exercises/exerciseImages/sequences/6/Male/m/6_2.jpg,Forearms,Other
Sledgehammer swing,https://www.bodybuilding.com/exercises/sledgehammer-swings,https://www.bodybuilding.com/images/2020/xdb/cropped/2019-xdb-186s-sledghehammer-swing-m1-600x600.jpg,https://www.bodybuilding.com/images/2020/xdb/cropped/2019-xdb-186s-sledghehammer-swing-m3-600x600.jpg,Abdominals,Other
Single-arm kettlebell snatch,https://www.bodybuilding.com/exercises/one-arm-kettlebell-snatch,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-79k-single-arm-kettlebell-snatch-m1-square-600x600.jpg,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-79k-single-arm-kettlebell-snatch-m2-square-600x600.jpg,Shoulders,Kettlebells
Box jump,https://www.bodybuilding.com/exercises/front-box-jump,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-75e-box-jump-m1-square-600x600.jpg,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-75e-box-jump-m3-square-600x600.jpg,Hamstrings,Other
Standing cable crunch,https://www.bodybuilding.com/exercises/standing-rope-crunch,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-34c-standing-cable-crunch-m1-square-600x600.jpg,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-34c-standing-cable-crunch-m2-square-600x600.jpg,Abdominals,Cable
Standing barbell overhead triceps extension,https://www.bodybuilding.com/exercises/standing-overhead-barbell-triceps-extension,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-60b-standing-barbell-overhead-triceps-extension-m1-square-600x600.jpg,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-60b-standing-barbell-overhead-triceps-extension-m2-square-600x600.jpg,Triceps,Barbell
Lying cable triceps extension,https://www.bodybuilding.com/exercises/cable-lying-triceps-extension,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-62c-lying-cable-triceps-extension-m1-square-600x600.jpg,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-62c-lying-cable-triceps-extension-m2-square-600x600.jpg,Triceps,Cable
Close push-up to wide push-up,https://www.bodybuilding.com/exercises/pushups-close-and-wide-hand-positions,,,Chest,Body Only
Single-arm dumbbell triceps extension,https://www.bodybuilding.com/exercises/dumbbell-one-arm-triceps-extension,,,Triceps,Dumbbell
Butterfly,https://www.bodybuilding.com/exercises/butterfly,,,Chest,Machine
Decline dumbbell bench press,https://www.bodybuilding.com/exercises/decline-dumbbell-bench-press,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-33n-decline-dumbbell-bench-press-m1-square-600x600.jpg,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-33n-decline-dumbbell-bench-press-m2-square-600x600.jpg,Chest,Dumbbell
V-up,https://www.bodybuilding.com/exercises/jackknife-sit-up,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-76a-v-up-m1-square-600x600.jpg,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-76a-v-up-m2-square-600x600.jpg,Abdominals,Body Only
Seated face pull,https://www.bodybuilding.com/exercises/low-pulley-row-to-neck,,,Shoulders,Cable
Barbell Bulgarian split squat,https://www.bodybuilding.com/exercises/one-leg-barbell-squat,https://www.bodybuilding.com/images/2020/xdb/cropped/2020-xdb-60e-barbell-bulgarian-split-squat-m1-crop-600x600.jpg,https://www.bodybuilding.com/images/2020/xdb/cropped/2020-xdb-60e-barbell-bulgarian-split-squat-m2-crop-600x600.jpg,Quadriceps,Barbell
Reverse-grip lat pull-down,https://www.bodybuilding.com/exercises/underhand-cable-pulldowns,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-74c-reverse-grip-lat-pull-down-m1-square-600x600.jpg,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-74c-reverse-grip-lat-pull-down-m2-square-600x600.jpg,Lats,Machine
Standing Biceps Cable Curl,https://www.bodybuilding.com/exercises/standing-biceps-cable-curl,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-22c-cable-straight-bar-biceps-curl-m1-square-600x600.jpg,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-22c-cable-straight-bar-biceps-curl-m2-square-600x600.jpg,Biceps,Cable
Single-arm cable seated row,https://www.bodybuilding.com/exercises/seated-one-arm-cable-pulley-rows,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-82c-single-arm-cable-seated-row-m1-square-600x600.jpg,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-82c-single-arm-cable-seated-row-m2-square-600x600.jpg,Middle Back,Cable
Single-arm kettlebell row,https://www.bodybuilding.com/exercises/one-arm-dumbbell-bench-press,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-12e-single-arm-dumbbell-bench-press-m1-square-600x600.jpg,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-12e-single-arm-dumbbell-bench-press-m2-square-600x600.jpg,Chest,Dumbbell
Scissors Jump,https://www.bodybuilding.com/exercises/scissors-jump,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-42a-alternating-lunge-jump-m4-square-600x600.jpg,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-42a-alternating-lunge-jump-m5-square-600x600.jpg,Quadriceps,Body Only
Wide Stance Stiff Legs,https://www.bodybuilding.com/exercises/wide-stance-stiff-legs,https://www.bodybuilding.com/exercises/exerciseImages/sequences/744/Male/m/744_1.jpg,https://www.bodybuilding.com/exercises/exerciseImages/sequences/744/Male/m/744_2.jpg,Hamstrings,Barbell
Rack Pull with Bands,https://www.bodybuilding.com/exercises/rack-pull-with-bands,https://www.bodybuilding.com/exercises/exerciseImages/sequences/741/Male/m/741_1.jpg,https://www.bodybuilding.com/exercises/exerciseImages/sequences/741/Male/m/741_2.jpg,Lower Back,Barbell
Drag curl,https://www.bodybuilding.com/exercises/drag-curl,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-11b-drag-curl-m1-square-600x600.jpg,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-11b-drag-curl-m2-square-600x600.jpg,Biceps,Barbell
