Exercise_Name,Description_URL,Exercise_Image,Exercise_Image1,muscle_gp,Equipment
Single-leg depth squat,https://www.bodybuilding.com/exercises/single-leg-high-box-squat,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-68e-single-leg-depth-squat-m1-square-600x600.jpg,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-68e-single-leg-depth-squat-m4-square-600x600.jpg,Quadriceps,Bands
Dumbbell suitcase crunch,https://www.bodybuilding.com/exercises/weighted-suitcase-crunch,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-50d-dumbbell-suitcase-crunch-m1-square-600x600.jpg,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-50d-dumbbell-suitcase-crunch-m2-square-600x600.jpg,Abdominals,Medicine Ball
Plate Twist,https://www.bodybuilding.com/exercises/plate-twist,https://www.bodybuilding.com/exercises/exerciseImages/sequences/106/Male/m/106_1.jpg,https://www.bodybuilding.com/exercises/exerciseImages/sequences/106/Male/m/106_2.jpg,Abdominals,Other
Single-leg cable hip extension,https://www.bodybuilding.com/exercises/one-legged-cable-kickback,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-43c-single-leg-cable-hip-extension-m1-square-600x600.jpg,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-43c-single-leg-cable-hip-extension-m2-square-600x600.jpg,Glutes,Cable
Weighted Jump Squat,https://www.bodybuilding.com/exercises/weighted-jump-squat-,https://www.bodybuilding.com/exercises/exerciseImages/sequences/887/Male/m/887_1.jpg,https://www.bodybuilding.com/exercises/exerciseImages/sequences/887/Male/m/887_2.jpg,Quadriceps,Barbell
Squat with Chains,https://www.bodybuilding.com/exercises/squat-with-chains,,,Quadriceps,Barbell
Gorilla Chin/Crunch,https://www.bodybuilding.com/exercises/gorilla-chincrunch,,,Abdominals,Body Only
Kneeling cable triceps extension,https://www.bodybuilding.com/exercises/kneeling-cable-triceps-extension,,,Triceps,Cable
Kneeling Cable Crunch With Alternating Oblique Twists,https://www.bodybuilding.com/exercises/kneeling-cable-crunch-with-alternating-oblique-twists,,,Abdominals,Cables
Bicycling,https://www.bodybuilding.com/exercises/bicycling,,,Quadriceps,Other
Arnold press,https://www.bodybuilding.com/exercises/arnold-dumbbell-press,,,Shoulders,Dumbbell
Weighted Crunches,https://www.bodybuilding.com/exercises/weighted-crunches,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-50d-dumbbell-suitcase-crunch-m1-square-600x600.jpg,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-50d-dumbbell-suitcase-crunch-m2-square-600x600.jpg,Abdominals,Other
Single-arm cable triceps extension,https://www.bodybuilding.com/exercises/cable-one-arm-tricep-extension,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-31c-single-arm-cable-triceps-extension-m1-square-600x600.jpg,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-31c-single-arm-cable-triceps-extension-m2-square-600x600.jpg,Triceps,Cable
Barbell roll-out,https://www.bodybuilding.com/exercises/barbell-ab-rollout,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-48b-barbell-roll-out-m1-square-600x600.jpg,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-48b-barbell-roll-out-m2-square-600x600.jpg,Abdominals,Barbell
Kneeling cable crunch,https://www.bodybuilding.com/exercises/cable-crunch,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-35c-kneeling-cable-crunch-m1-square-600x600.jpg,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-35c-kneeling-cable-crunch-m2-square-600x600.jpg,Abdominals,Cable
Exercise Ball Pull-In,https://www.bodybuilding.com/exercises/exercise-ball-pull-in,,,Abdominals,Exercise Ball
Hanging leg raise,https://www.bodybuilding.com/exercises/hanging-leg-raise,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-9m-hanging-leg-raise-m1-square-600x600.jpg,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-9m-hanging-leg-raise-m2-square-600x600.jpg,Abdominals,Body Only
Barbell Ab Rollout - On Knees,https://www.bodybuilding.com/exercises/barbell-ab-rollout-on-knees,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-48b-barbell-roll-out-m1-square-600x600.jpg,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-48b-barbell-roll-out-m2-square-600x600.jpg,Abdominals,Barbell
Barbell Squat,https://www.bodybuilding.com/exercises/barbell-squat,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-50b-barbell-back-squat-m1-square-600x600.jpg,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-50b-barbell-back-squat-m2-square-600x600.jpg,Quadriceps,Barbell
Decline barbell bench press,https://www.bodybuilding.com/exercises/decline-barbell-bench-press,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-34n-decline-barbell-bench-press-m1-square-600x600.jpg,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-34n-decline-barbell-bench-press-m2-square-600x600.jpg,Chest,Barbell
